text,true_star,pred_star,absolute_error
"After a fascinating, self-guided tour of the original penitentiary across the street we needed a cup of coffee. This pleasant, spacious place took good care of us. We did not eat, but the food we saw looked good. Also, save your penitentiary tour receipt for a 10% discount!",5,1,4
"Very disappointed......haven't been here in years and brought our daughter here for dinner as we are in the city for medical test tomorrow. An Irish Pub without Bangers and Mash, Shepard's Pie, Irish Stew!!!!! They did have a lot of burgers, salads, some sandwiches and Fish Tacos! So much for a nice Irish dinner at an Irish Pub. We passed a nice looking Germane restaurant but kept walking thinking we were having bangers and mash. Very very disappointed!!!",1,5,4
"Rybread makes me crave food I don't even like...what's a scone anyways? Who cares, they make them cheesy and bacon-y and mmmmmm!!!!! Carrot cake is gross, but not at Rybread topped with half a pound of cream cheese icing (secret ingredient: crack?)! I even enjoy the carrot chunks for some reason. Who knew?",5,1,4
"Today was a rough day for both me and my friend. But we decided what better way to turn a bad day into a great day than to order from our local Domino's. Boy, were we pleasantly surprised. Not only did the pizza arrive in less than a half hour, but we also had a blast tracking it. We thought that once the order arrived, we would be completely underwhelmed and disgusted. On the contrary, Domino's garlic bread sticks and cinnamon knots taste like they are dusted in crack. We highly recommend the garlic butter dipping sauce. Although, a word of caution: if the world continues at this rate, we are all going to look like the people from Wall-E. Thank you, Domino's. Danger is your middle name but Delicious is your first.",5,1,4
"I just finished the second-best tacos I've ever had in my life...and they were made in a trailer. That's pretty damn impressive. I read on here & elsewhere that the lines for this place are long. Either they're suddenly hurting for business, or the students are all to busy moving in today to seek out awesome tacos, because there was no line when I got there. In any case, I called in my order...you should too, because presumably that will keep you from having to wait in line (in the event that a line exists).",5,1,4
A small place but excellent service.eating here a half dozen times or so with and without friends never have I had bad food or bad service,5,1,4
"The 7 years I've dined here, I've never had an issue with their food or their service. At times, the owner gives me Thai tea on the house. I love their thai sausage fried rice, chicken satay, and lemon grass soup! The flavors are never off. Honesty, I don't think I've never had a bad time here. One time, I was charge more than what it was supposed to be. Well, my girlfriend had picked the food up. So, I didn't know what it was supposed to be. The owner had called me and stated that he overcharged us, he kept sincerely apologizing. I started to feel bad instead. He told me he'll credit me next time I come in (it was about a $20 difference). However, I didn't dine in or order out in a couple of weeks and when I did, he remembered about the credit. That right there shows how much he loves and enjoys his customers!!! You'll forever have a customer unless I find something in my food (which I hope will never happen).",5,1,4
This place is no more Cajun then McDonald's! I'm from the south and visiting your nice city of Philly. So I thought I would entertain the idea of coming to a Cajun restaurant in the middle of Philly. Yeah no! Might as well convert The Joint to Philly cheesesteak restaurant and compete with everybody else. Just because it's different than Salt and Pepper doesn't mean it's spicy just saying! If you want real Cajun go to Louisiana. The Catahoula family is nowhere near Louisiana more like Pennsylvania.,1,5,4
Got smashed here on spring break 010 4 Beers + 2 Shots = 12.00!!!!!,5,1,4
named our cat after this pizza. need i say more?,5,1,4
"I introduced a friend of mine to Key Pizza last week. I just received a text message from that same friend, ""There is a stomach lock that only key pizza can open.""",5,1,4
"I always have a good experience at this location. Today I went through the drive through and opted to try the new queso & bacon fries with a frosty. I requested no bacon but received it anyway. I went inside to exchange it. The employee at the counter assisted me immediately and cheerfully, apologized for the mistake, and gave me extra queso.",5,1,4
"Waited for someone to seat us for about 7 minutes. The waitress provided good customer service. The food was good. We tried sangria of the day. The bartender said they don't have flavors of the day ""the menu lies"" the one he did make was horrible and I paid $6 for a non sangria drink.",5,1,4
"As a loyal fan of the original location I decided to pick up my favorite, Bistro Bella, when I found myself in west philly this evening. I'm sad to say there is a big difference in quality between these two locations. I've never had anything but a perfectly seasoned and crafted meal at their rittenhouse location and this was anything but. For starters, the bun was stale and not grilled on the flat top, the mushroom was under seasoned and undercooked -watery and rubbery. The usually delicious toppings of arugula (way too much was carelessly piled on!), artichoke (cut in large awkward chunks), and olive tapenade were put on so haphazardly that you could barely eat it. I love you HCV, which is why I'm writing this- please check the food your serving! West Philly deserves an option as delicious as your original.",1,5,4
"This is my freaking oasis. Cozy chair, glass of wine, free wifi - what more can a lady want when she's got an hour to kill at the airport? I breezed through security today and made a beeline here, only to see it completely empty. A glance at the time...yep, not quite noon. Sigh. I took my shamed self elsewhere for lunch, and was thrilled to see Vino Volo filling up a half hour later. No one wants to be the first person at the wine bar in the airport before noon. Minor criticisms: there needs to be less absurdly priced wine ($30 a glass) and way more mid-range ($10). I had to choose a petite syrah from the three in the ""cheapo"" section ($9) that definitely could've stood to have more body. But who am I kidding? I'm drinking wine in the airport at noon. Whatever.",5,1,4
It's hard to tell what's better: Food from Vietnam (the restaurant) or high fives from chimpanzees. The food is seriously that good.,5,1,4
"After walking the B Terminal this was the first place that a person greeted us. I realize the iPads are an effective way to conduct business, but they eliminate the human touch. Our server, Daniel, was personable and helpful to those around us who were having difficulty with the ordering process. He stepped in several times to assist confused and/or frustrated customers. In short, Daniel and those working with him, made this a great airport experience.",5,1,4
"What makes a top-rated restaurant? Outstanding service, with a waitstaff that appears happy you've decided to dine at their establishment, and outstanding food. Vernick has neither. We started our evening at the bar where a very surly bartender waited on us. And that set the tone for the remainder of our evening. The food was medicore at best and the waitstaff (with the exception of one lovely young man) treated us as if they were doing us a favor. As we left, we overheard a couple talking about their dining experience. The gentlemen said: ""it was OK, but certainly not worth waiting four months for a reservation. And what's with the attitude?"" Sums up our experience as well. We neither recommend nor will we be back.",1,5,4
Exactly what I needed after trudging across the city in the snow. I knew what I wanted so I wasn't bothered by the guy staring at me until I told him what I wanted. It took under 2 minutes for my food to get to me. And maybe only a few seconds longer than that for me to devour it. I'll definitely be back.,5,1,4
"Updated review (4/1/16) So yeah, Tres Jalapeños is no longer my go to place for Mexican. I mean...the service and food now is just terrible. We (my coworkers and friends) would eat here at least 3-4 times a week. When friends from out of town would come I would always take them there. They even mention on Facebook how they can't wait to visit Philly again and always want to go to TJ. Sadly it's been over a month since I've been there, same goes for my friends. It all started when the majority of the staff quit. The only original staff member there now is Laura, who is there every single day now (not good). The new staff is so weird. Most of them don't even speak English. The past 3 times I've eaten there my order has been messed up (I've eaten the same thing there for YEARS) then old staff would usually have our orders in before we even made it completely through the door. They were awesome. They would sit and talk with us, give us tons of extra chips. It was great. Even the salsa sucks now. Even my barber brought it up to me because he knows how much we all loved that place. I am genuinely sad to now give them a 1 star review. If any member of management is reading this, you REALLY need to get your act together. I would happily spend $700+ a month there before. ------------------------------------------------- Original review: I love Tres Jalapenos. Coming here form the south, I fould it very hard to get good mexican food (we're spoiled down there). I order from TJ at least 3 times a week. The food is always great, and the delivery guys are really good to deal with. I try to pick my food up, though, as I feel bad having them bike through a bad neighborhood to get to my place.",1,5,4
"This was my first time here and it was a seamless experience! You can place your order at the kiosks when you walk in the door or you can order at the counter. No sooner had I submitted my order and I got a text message saying my order was ready for pick-up at the counter. The next minute, my name was being called and picked up my shake and left. The inside of the building was clean and organized. The employees were working really hard and were getting orders ready quickly. I noticed an attention to detail of theirs - there was an employee stationed in the midst of the people waiting for their orders. She was asking people if they had ordered already or not and was directing people appropriately. She asked me if I had ordered and since I did, I moved over to the order pick-up line. I appreciated the intention to create an as straightforward ordering experience as possible for customers. I will definitely be back!",5,1,4
Well just don't ask the server what's in the margaritas because she will tell you she's not a bartender. Also the pictures are enticing on line but lacks all the flavor. Highly don't recommend.,1,5,4
"I have nothing but positive things to say about this place. I walked out of Miller's Ale House twice this year because it did not have the Temple basketball game on ... and didn't have Comcast. Not only does Hooters HAVE Comcast, they will put the Temple basketball games on if you ask. Both times I walked in, asked the bartenders to put Temple on and they dropped everything and put the Owls on TV. First was Temple vs. Buffalo in December. The second game was Temple's win at UMASS in Feb. Both times the Flyers were on EVERY tv, but they asked me which one I wanted the Temple game on and I appreciated that. Also, the ending of the Temple vs. UMASS game was so exciting, a good portion of the Flyers' fans flocked over to the one TV to watch that ending. I might have converted a few hockey fans to college hoops that night. Needless to say, Miller's Ale House staff got not tip and Hooters girls got both a generous tip that I would have given them anyway and the tip that I was going to give to Miller's.",5,1,4
"We stopped in for four slices and the total was like 15 bucks, we didn't even finish the pizza. My father said it best when he described it as ""canival pizza."" By the italian market, I figured the place had to be at least half-way decent, but I would recommend any of the other amazing food places in the area.",1,5,4
We did pay by the weight and paid $16 for about 4 servings of bomb Indian food. Why would you NOT go?,5,1,4
"Yes, it's good coffee, with a buy-10-get-1-free card. Cute place, great location. BUT. There's a huge BUT, guys. Strawberry Blonde Pony Tail dude- talk about poor service. I mean, you've just refinanced your mortgage so that you could afford those 10 coffees (but lykeomg you get a free one so it's worth it?...) and then Strawberry Blonde Pony Tail dude treats you like you're at the DMV. With one sustained glare into the floor, he manages to make the whole bougie coffee-buying experience a purgatory where hopes and dreams go to die. If you want some friendly service, or maybe just a vapid smile, try publicly executing a few small fluffy animals... The odds of experiencing smiles from a stranger will be resoundingly greater.",1,5,4
"My sister and I are both vegan and were excited to try the food here with all the good reviews. We got the bbq chicken, jerk chicken legs and pepper steak. We were really surprised how bad the fake meat was. The flavors and textures were so off we just threw everything away.",1,5,4
牛角真的是超级赞的一家烤肉店！！强烈推荐啊啊啊！我们这次3个人点了个两人份的套餐，但服务员非常贴心的rice，soup和甜点都配的三份，没有加钱。肉很鲜美入味，小菜也非常精致，最后的烤棉花糖也非常有趣。超级推荐！,5,1,4
"From a girl who can get horrible bouts of acid reflux, to a restaurant that could potentially cause the worst acid reflux: THANK YOU FOR BEING PERFECT AND DELICIOUS AND NOT GREASY!!! You're the best, xoxo",5,1,4
Jamal p wrote untrue post about Dan the bartender who was only sticking up for his customer who Jamal P was rude to,5,1,4
OMG. My bf and I just moved to Manayunk from center city and asked a local bartender for a pizza suggestion. He overwhelmingly said Caputos and I ordered delivery as we were walking out of the bar. Less than 30 mins later I had a pepperoni and sweet sausage pizza I would do anything short of kill for. Do yourself a favor... Order pizza from Caputos.,5,1,4
Holy hamachi this place still kicks ass. Mackerel? Bring me 2 of 'em!,5,1,4
Ordered from Termini Bakery. Excellent if South South Philly location. Stale dried up pastries in Reading Terminal with mark up price.,1,5,4
"I loved this place. Went for a quick lunch and boy was it quick. We barely sat down when semeone approached for ordering. Drinks (a yummy vietanmease coffee) were delivered instantaneously. Without any exageration, the food was dilivered 1.5 minutes after we ordered. I was initially confused and thought they brought the food to wrong table. It looked and tasted like it was made to order! Very innexpensive and very tasty. Highly recommend for good vientamease!",5,1,4
