text,true_label,pred_label,margin_score,error_type
"Unbiased responses to other reviews: ""This cool little burger place sticks out sorely, with an awful name and even worse, bright green lettering blaring far out down Walnut Street, right next to red brick UPenn of all places."" Is this a serious complaint? I read this review befor",1,0,-1.772171770283235,false_negative
Volcano roll was awesomeeeeeee. Service was ok but nothing horrible.,1,0,-1.6365325604341556,false_negative
Great food. Love the margaritas and love the tacos. My biggest gripe is the service is TERRIBLE!! I have been to this restaurant twice and both times the service is horrible. Our waitress basically just ignored us. We had to get up and order our drinks from the bar. That was the ,1,0,-1.5109098878073044,false_negative
"Wonderful mussels-don't miss the frites. Been enjoying the food for more than 20 years. But, the most recent night we dined, the hostess was downright rude. It was late in the evening and the place was about half full. Hostess seated us in a tight spot in the back room between tw",1,0,-1.4995770472206906,false_negative
"update: someone contacted me and gave me a free pizza! So last time I ordered from here, they forgot my garlic sauce. No big deal, only $0.50 but my favorite part. This time they delivered half of my order to someone else. If that customer didn't call me, I wouldn't have known un",1,0,-1.3374730268378754,false_negative
"Ok so my friend usually orders from here and said the food was good. However, this time we got some rice and chicken curry and it was lacking seasoning or salt or something. It tasted a bit bland. I'm sure he'll give this place another shot but yesterday was a miss for us. I'm st",1,0,-1.3127511588357708,false_negative
"I had one of my most bizarre dining experiences at the City Tavern in old town Philly. Let me tell the whole story. Came here with my wife in the evening for dinner, and we're seated by some guy in colonial garb. My wife and I look over the menu, and one special catches my eye--a",1,0,-1.3076849575245708,false_negative
"Oh, shit. What is this place and why doesn't Pittsburgh had one? You could spend days in here trying to eat your way thru this place. No lie. Avoid it, if at all possible.",1,0,-1.2797728331522247,false_negative
"I was initially disappointed to hear that they only served breakfast on Sundays, but the breakfast burrito was unbelievable. Also, when I messed up my order they changed it without much hassle, and then tried to refuse my tip for the inconvenience. Would (and will) go again.",1,0,-1.2793736244252194,false_negative
"After a nearly unanimous vote from our group, me, my girlfriend, and our 20 person group of friends, boyfriends, and girlfriends walked to Woody's. Most of us were happy with the decision, but many did not want to go dancing upstairs and were set on staying at the downstairs bar ",1,0,-1.2681737648318667,false_negative
"I've ordered take out a few times from The Rook. Overall I've had a good experience. The photo below is from my order tonight, a simple Cobb salad. But the avocado was bad, which was disappointing.",1,0,-1.2163006719671532,false_negative
"Umai is now charging a mandatory 20% ""tip"" for takeout. It's nonnegotiable. If you call and order something, and intend to pick it up a half hour or hour later at their take-out door, it's 20% automatic.",1,0,-1.183952684462293,false_negative
"This place is better than Geno's and Pat's. I drove from VA just to try this out and it was worth it. Geno's and Pat's seems bland compare to Maxx's. They also give you toppings that are available. It tasted really good with dried crush pepper. The service is ok, nothing special.",1,0,-1.183409595790203,false_negative
"My friends and I posted up for a few hours yesterday very excited to check out the post. We were celebrating after finishing final exams for our graduate program. We had a lovely time, enjoyed the food, and had great beer throughout the afternoon and evening. Our bartender was lo",1,0,-1.0451251231263965,false_negative
I put in a pretty large order through Grubhub and was a bit concerned when it had been an hour and nothing showed up. Called in a they told me that the driver had left with it about 15 minutes ago. Another 45 minutes went by... nothing. I called back in and they were pretty great,1,0,-1.0117550439397982,false_negative
Edit: Restaurant delivered a new pizza to me quickly (see other photo below). I appreciate the phone call and the hassle free redelivery. I'll be a returning customer for this. --------------------------------------- Ordered a pizza from Here through Caviar. See the photo to look,1,0,-1.0105514278670462,false_negative
I am changing my original review since I have received a nice message from the owner of the Oregon diner. There was never any issue of the quality to the food I had ever received from the Diner. It was the issue of the service I had received on New Years Eve. The nice message tha,1,0,-1.0053387383251233,false_negative
"I was bummed they ran out of pho and fresh crawfish. Got the frozen Cajun crawfish for only 7.99 a lb. If you get two lbs they add corn, potatoes, and sausage. (My order had no sausages, two red potatoes, and three corn which I was charged extra for). We got the oysters which had",1,0,-0.9917957452536006,false_negative
